layers,num_layers,total_neurons,learning_rate,batch_size,epochs,test_accuracy,test_loss,train_accuracy,val_accuracy,training_time
[128],1,128,0.001,32,10,0.9782000184059143,0.08076126128435135,0.9956166744232178,0.9782000184059143,40.40227675437927
[128],1,128,0.001,32,20,0.9797000288963318,0.10581100732088089,0.9983333349227905,0.9797000288963318,78.69664859771729
[128],1,128,0.001,64,10,0.9782000184059143,0.07382982969284058,0.9944999814033508,0.9782000184059143,23.49282169342041
[128],1,128,0.001,64,20,0.9747999906539917,0.1082509309053421,0.9989333152770996,0.9747999906539917,45.743457078933716
[128],1,128,0.001,128,10,0.9778000116348267,0.07539339363574982,0.9914000034332275,0.9778000116348267,14.654670476913452
[128],1,128,0.001,128,20,0.9803000092506409,0.07536371052265167,0.9989833235740662,0.9803000092506409,28.13035559654236
[128],1,128,0.01,32,10,0.9648000001907349,0.25715526938438416,0.9772666692733765,0.9648000001907349,40.54607677459717
[128],1,128,0.01,32,20,0.967199981212616,0.3759511411190033,0.9838833212852478,0.967199981212616,79.58600521087646
[128],1,128,0.01,64,10,0.9653000235557556,0.201096311211586,0.9813666939735413,0.9653000235557556,23.83009672164917
[128],1,128,0.01,64,20,0.964900016784668,0.39261680841445923,0.9885833263397217,0.964900016784668,45.828479290008545
[128],1,128,0.01,128,10,0.9708999991416931,0.15454092621803284,0.9853000044822693,0.9708999991416931,14.739351749420166
[128],1,128,0.01,128,20,0.9714000225067139,0.30428123474121094,0.9919999837875366,0.9714000225067139,28.1939537525177
[128],1,128,0.1,32,10,0.4553000032901764,1.8068236112594604,0.467849999666214,0.4553000032901764,40.133291721343994
[128],1,128,0.1,32,20,0.6481000185012817,1.6215615272521973,0.6198833584785461,0.6481000185012817,79.05356669425964
[128],1,128,0.1,64,10,0.7954000234603882,1.1382942199707031,0.7487666606903076,0.7954000234603882,24.144113302230835
[128],1,128,0.1,64,20,0.690500020980835,1.406640648841858,0.6921833157539368,0.690500020980835,45.9408495426178
[128],1,128,0.1,128,10,0.7754999995231628,0.7137134671211243,0.8324000239372253,0.7754999995231628,14.55523943901062
[128],1,128,0.1,128,20,0.8450000286102295,1.062315583229065,0.8260499835014343,0.8450000286102295,28.740648984909058
[256],1,256,0.001,32,10,0.9797000288963318,0.07936576008796692,0.9964166879653931,0.9797000288963318,53.14502668380737
[256],1,256,0.001,32,20,0.9815999865531921,0.10064932703971863,0.9980000257492065,0.9815999865531921,104.70995879173279
[256],1,256,0.001,64,10,0.9828000068664551,0.06973744183778763,0.9971166849136353,0.9828000068664551,30.672618627548218
[256],1,256,0.001,64,20,0.9815999865531921,0.08576913177967072,0.9988999962806702,0.9815999865531921,60.41344428062439
[256],1,256,0.001,128,10,0.9807000160217285,0.06325335055589676,0.9958999752998352,0.9807000160217285,18.837361812591553
[256],1,256,0.001,128,20,0.9828000068664551,0.06850090622901917,0.9998166561126709,0.9828000068664551,36.092374086380005
